Time,Toe,,Ankle,,Ankle_velocity,,Ankle_acc,,Knee,,Hip,
,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0,38.129,6.831,31.917,20.192,,,,,62.168,48.544,67.942,91.232
0.0145,39.74,8.163,34.566,22.141,197.5862069,106.4482759,2054.69679,-3857.312723,66.154,48.477,70.079,91.432
0.029,41.992,9.032,37.647,23.279,215.5862069,77.13793103,428.0618312,-185.4934602,70.1,48.465,72.282,91.834
0.0435,45.101,10.279,40.818,24.378,236.0689655,59.10344828,2397.146254,-2302.021403,74.174,48.921,74.603,91.978
0.058,48.703,10.643,44.493,24.993,257.2758621,28.06896552,527.9429251,-1978.596908,77.659,49.09,76.643,92.489
0.0725,52.954,11.229,48.279,25.192,266.0689655,-1.75862069,684.8989298,-2135.552913,81.593,49.82,78.84,93.072
0.087,57.275,11.096,52.209,24.942,277.2413793,-26.24137931,856.1236623,-1241.37931,85.262,50.472,80.838,93.307
0.1015,62.264,10.846,56.319,24.431,289.4137931,-53.89655172,822.8299643,-2573.127229,88.795,51.103,82.025,94.237
0.116,67.657,10.511,60.602,23.379,307.2758621,-74.86206897,1640.903686,-318.6682521,92.029,51.359,84.76,93.648
0.1305,72.97,10.176,65.23,22.26,316.4482759,-84.93103448,-375.7431629,-1070.154578,95.358,51.985,86.757,94.229
0.145,78.68,9.569,69.779,20.916,335.4827586,-95.37931034,3001.189061,-370.9869203,98.491,52.59,87.918,93.99
0.1595,84.63,9.082,74.959,19.494,348.8965517,-105.862069,-1151.010702,-1074.91082,101.361,52.932,89.49,93.896
0.174,90.561,8.54,79.897,17.846,360.1034483,-109.8965517,2696.789536,518.43044,104.23,53.458,90.687,93.985
0.1885,96.855,8.028,85.402,16.307,378.1034483,-102.7931034,-214.0309156,461.3555291,106.905,53.982,94.231,95.582
0.203,102.943,7.849,90.862,14.865,377.3103448,-90.24137931,104.6373365,1269.916766,109.382,54.153,97.792,94.938
0.2175,109.014,7.933,96.344,13.69,387.3448276,-83.96551724,1279.429251,-404.2806183,111.604,54.175,99.515,95.043
0.232,115.097,8.092,102.095,12.43,391.9655172,-66.89655172,-642.0927467,2758.62069,113.761,54.215,101.289,94.586
0.2465,121.069,8.658,107.711,11.75,389,-43.5862069,233.0558859,456.5992866,115.696,54.215,103.193,94.546
0.261,126.772,9.439,113.376,11.166,379.4137931,-27.5862069,-1555.29132,1750.297265,117.599,54.252,104.965,94.125
0.2755,132.398,10.754,118.714,10.95,359.1034483,-2.896551724,-1246.135553,1655.172414,119.433,53.995,106.801,93.923
0.29,137.381,11.736,123.79,11.082,336.7586207,19,-1835.909631,1365.041617,121.046,53.553,108.632,93.539
0.3045,141.763,13.182,128.48,11.501,302.5517241,22.06896552,-2882.282996,-941.7360285,122.567,53.33,110.494,93.246
0.319,145.636,14.281,132.564,11.722,266.4482759,29.55172414,-2097.502973,1973.840666,123.991,52.887,112.384,92.917
0.3335,149.099,15.461,136.207,12.358,225.1724138,27.93103448,-3595.719382,-2197.384067,125.569,52.482,114.427,92.516
