Frame,Time,Right,Hip,Right,Knee,Right,Ankle,Right,Toe
,(sec),X,Y,X,Y,X,Y,X,Y
1,0,0.4494,0.7858,0.41,0.474,0.0931,0.2144,0.1173,0.0363
2,0.014,0.4731,0.7858,0.4502,0.4689,0.127,0.2246,0.1372,0.0477
3,0.029,0.4957,0.7871,0.4868,0.4727,0.1649,0.2373,0.1763,0.0643
4,0.043,0.5174,0.7921,0.525,0.4753,0.2081,0.2437,0.2247,0.0694
5,0.057,0.5333,0.7909,0.5613,0.4791,0.2496,0.2424,0.2712,0.0732
6,0.072,0.5541,0.7998,0.5987,0.4867,0.2933,0.2462,0.3251,0.0681
7,0.086,0.5673,0.8049,0.6334,0.4944,0.3357,0.2373,0.3802,0.0681
8,0.1,0.5889,0.81,0.669,0.5084,0.3878,0.2322,0.4438,0.063
9,0.114,0.6079,0.8112,0.6996,0.5109,0.4311,0.2221,0.5036,0.0604
10,0.129,0.6278,0.8201,0.7322,0.5173,0.4815,0.2106,0.5705,0.0528
11,0.143,0.6469,0.824,0.7627,0.53,0.5323,0.2004,0.6354,0.0515
12,0.157666667,0.6667,0.8278,0.7901,0.5351,0.5827,0.1852,0.7023,0.0503
13,0.172166667,0.6865,0.8265,0.8162,0.5415,0.6368,0.1686,0.7679,0.0452
14,0.186666667,0.7088,0.8316,0.8399,0.5453,0.6922,0.1559,0.8348,0.0477
15,0.201166667,0.7319,0.829,0.8656,0.5478,0.7472,0.1444,0.9012,0.0554
16,0.215666667,0.7489,0.8303,0.8851,0.5491,0.8036,0.1343,0.9614,0.0554
17,0.229616667,0.7695,0.829,0.9057,0.5491,0.8586,0.1266,1.024,0.0655
18,0.243980882,0.7919,0.8265,0.9306,0.5465,0.9154,0.1203,1.0884,0.077
19,0.258345098,0.812,0.824,0.9456,0.5402,0.9685,0.1164,1.1416,0.0897
20,0.272709314,0.8312,0.8214,0.961,0.5402,1.0145,0.1177,1.1939,0.1088
21,0.287073529,0.8569,0.815,0.9816,0.5325,1.0656,0.1177,1.2438,0.1215
22,0.301437745,0.8777,0.8049,0.9973,0.5186,1.1068,0.1152,1.2824,0.133
23,0.315801961,0.8991,0.8061,1.0136,0.5173,1.1485,0.1215,1.3177,0.1533
24,0.330166176,0.9225,0.8049,1.0357,0.5109,1.1833,0.1215,1.3539,0.1623
25,0.344530392,0.9441,0.801,1.0523,0.5096,1.2075,0.1228,1.378,0.1673
26,0.358894608,0.9703,0.7972,1.0759,0.5084,1.2299,0.1203,1.3979,0.1623
27,0.373258824,0.9937,0.7998,1.0993,0.5058,1.2431,0.119,1.4085,0.1521
