Frame,Event,Time (s),Club:CH,,,,,,
,,,X,Y,Z,,,,
0,STT,-1.071,122.8,67.9,4.5,,,,
1,,-1.07,122.8,67.9,4.5,,,,
2,,-1.069,122.8,67.9,4.5,,,,
3,,-1.068,122.8,67.9,4.5,,,,
4,,-1.067,122.8,67.9,4.5,,,,
5,,-1.066,122.8,67.9,4.5,,,,
6,,-1.065,122.8,67.9,4.5,,,,
7,,-1.064,122.8,67.9,4.5,,,,
8,,-1.063,122.8,67.9,4.5,,,,
9,,-1.062,122.8,67.9,4.5,,,,
10,,-1.061,122.8,67.8,4.5,,,,
11,,-1.06,122.8,67.8,4.5,,,,
12,,-1.059,122.7,67.8,4.5,,,,
13,,-1.058,122.7,67.8,4.5,,,,
14,,-1.057,122.7,67.8,4.5,,,,
15,,-1.056,122.7,67.8,4.5,,,,
16,,-1.055,122.7,67.8,4.5,,,,
17,,-1.054,122.7,67.8,4.5,,,,
18,,-1.053,122.7,,4.5,,,,
19,,-1.052,122.7,,4.5,,,,
20,,-1.051,122.7,,4.5,,,,
21,,-1.05,122.7,,4.5,,,,
22,,-1.049,122.7,,4.5,,,,
23,,-1.048,122.7,,4.5,,,,
24,,-1.047,122.7,,4.5,,,,
25,,-1.046,122.7,,4.5,,,,
26,,-1.045,122.7,,4.5,,,,
27,,-1.044,122.7,,4.5,,,,
28,,-1.043,122.7,,4.5,,,,
29,,-1.042,122.7,,4.5,,,,
30,,-1.041,122.7,,4.5,,,,
31,,-1.04,122.7,,4.5,,,,
32,,-1.039,122.7,,4.5,,,,
33,,-1.038,122.7,,4.5,,,,
34,,-1.037,122.7,,4.5,,,,
35,,-1.036,122.7,,4.5,,,,
36,,-1.035,122.7,,4.5,,,,
37,,-1.034,122.7,,4.5,,,,
38,,-1.033,122.6,,4.5,,,,
39,,-1.032,122.6,,4.5,,,,
40,,-1.031,122.6,,4.5,,,,
41,,-1.03,122.6,,4.5,,,,
42,,-1.029,122.6,,4.6,,,,
43,,-1.028,122.6,,4.6,,,,
44,,-1.027,122.6,,4.6,,,,
45,,-1.026,122.6,,4.6,,,,
46,,-1.025,122.6,,4.6,,,,
47,,-1.024,122.6,,4.6,,,,
48,,-1.023,122.6,,4.6,,,,
49,,-1.022,122.6,,4.6,,,,
50,,-1.021,122.6,,4.6,,,,
51,,-1.02,122.6,,4.6,,,,
52,,-1.019,122.6,,,,,,
53,,-1.018,122.6,,,,,,
54,,-1.017,122.6,,,,,,
55,,-1.016,122.6,,,,,,
56,,-1.015,122.6,,,,,,
57,,-1.014,122.6,,,,,,
58,,-1.013,122.6,,,,,,
59,,-1.012,122.6,,,,,,
60,,-1.011,122.6,,,,,,
61,,-1.01,122.5,,,,,,
62,,-1.009,122.5,,,,,,
63,,-1.008,122.5,,,,,,
64,,-1.007,122.5,,,,,,
65,,-1.006,122.5,,,,,,
66,,-1.005,122.5,,,,,,
67,,-1.004,122.5,,,,,,
68,,-1.003,122.5,,,,,,
69,,-1.002,122.5,,,,,,
70,,-1.001,122.5,,,,,,
71,,-1,122.5,,,,,,
72,,-0.999,122.5,,,,,,
73,,-0.998,122.5,,,,,,
74,,-0.997,122.5,,,,,,
75,,-0.996,122.5,,,,,,
76,,-0.995,122.5,,,,,,
77,,-0.994,122.5,,,,,,
78,,-0.993,122.5,,,,,,
79,,-0.992,122.5,,,,,,
80,,-0.991,122.5,,,,,,
81,,-0.99,122.4,,,,,,
82,,-0.989,122.4,,,,,,
83,,-0.988,122.4,,,,,,
84,,-0.987,122.4,,,,,,
