time,RASIS,,,LASIS,,,RPSIS,,,LPSIS,,,RGT,,,LGT,,,RAsho,,,RPsho,,
0,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0.00197758,28.1886,32.6892,95.7831,28.8729,59.3958,94.6721,11.2489,41.5302,97.5501,11.4323,50.9425,97.1989,22.1686,27.9514,85.9061,21.7695,64.1875,85.6033,25.2582,32.1972,140.423,11.0696,31.1483,141.299
0.00395516,28.1891,32.69,95.7837,28.8701,59.3961,94.6725,11.2493,41.5303,97.5476,11.4308,50.9396,97.1996,22.1675,27.9514,85.9063,21.7676,64.1879,85.6017,25.2554,32.2005,140.426,11.0693,31.1459,141.299
0.00593274,28.1896,32.6909,95.7844,28.8674,59.3964,94.6728,11.2496,41.5304,97.5451,11.4294,50.9367,97.2002,22.1664,27.9513,85.9066,21.7657,64.1883,85.6002,25.2526,32.2039,140.429,11.0689,31.1435,141.299
0.00791032,28.1899,32.6908,95.7842,28.8683,59.3978,94.6742,11.2453,41.5327,97.5479,11.4284,50.9392,97.2003,22.1662,27.9524,85.9068,21.7659,64.1881,85.6005,25.2517,32.2025,140.431,11.0677,31.1437,141.297
0.00988791,28.1903,32.6907,95.784,28.8693,59.3994,94.6756,11.2408,41.5351,97.5509,11.4275,50.942,97.2004,22.166,27.9536,85.907,21.7663,64.1879,85.6008,25.2508,32.201,140.433,11.0663,31.1441,141.295
0.0118655,28.1894,32.6913,95.784,28.8676,59.3982,94.6765,11.2392,41.5346,97.551,11.4264,50.942,97.1982,22.1653,27.9545,85.9049,21.7655,64.1879,85.6009,25.2507,32.2018,140.436,11.0673,31.1452,141.296
0.0138431,28.1885,32.6919,95.7839,28.8657,59.3968,94.6773,11.2378,41.5339,97.5509,11.4254,50.9418,97.1958,22.1646,27.9555,85.9027,21.7647,64.1879,85.6011,25.2507,32.2028,140.44,11.0684,31.1464,141.296
0.0158206,28.1868,32.6917,95.7846,28.868,59.3959,94.6765,11.2396,41.5359,97.5511,11.425,50.9415,97.1968,22.1637,27.9549,85.9049,21.7643,64.1864,85.6005,25.2526,32.2034,140.437,11.0649,31.1453,141.297
0.0177982,28.1851,32.6914,95.7855,28.8708,59.3951,94.6755,11.2418,41.5382,97.5513,11.4246,50.9412,97.1981,22.1627,27.9542,85.9077,21.764,64.1848,85.5999,25.2548,32.204,140.434,11.0608,31.1439,141.298
0.0197758,28.1851,32.6916,95.7842,28.87,59.3952,94.6756,11.2409,41.5384,97.5503,11.4257,50.9409,97.1973,22.1654,27.9553,85.9053,21.7629,64.1858,85.601,25.2533,32.2001,140.429,11.0601,31.1425,141.297
0.0217534,28.1853,32.692,95.7826,28.8685,59.3956,94.6759,11.2395,41.5381,97.5491,11.427,50.9406,97.196,22.1688,27.9568,85.902,21.7618,64.1873,85.6025,25.2511,32.1953,140.425,11.0599,31.1412,141.296
0.023731,28.186,32.6927,95.7828,28.8653,59.3965,94.6759,11.2398,41.5357,97.5513,11.425,50.9417,97.1952,22.1653,27.9557,85.9023,21.7642,64.1864,85.6031,25.2484,32.1976,140.428,11.058,31.1394,141.297
0.0257086,28.1868,32.6936,95.7835,28.8616,59.3977,94.6758,11.2405,41.5328,97.5543,11.4223,50.9431,97.1944,22.1602,27.9539,85.9034,21.7674,64.1849,85.6035,25.2456,32.2015,140.434,11.0555,31.1375,141.299
0.0276861,28.1843,32.6943,95.783,28.8619,59.3966,94.6766,11.2392,41.5345,97.5546,11.4227,50.9438,97.1962,22.159,27.9532,85.9034,21.7681,64.1874,85.6046,25.2462,32.2027,140.437,11.0559,31.1397,141.297
0.0296637,28.1807,32.6949,95.7823,28.8634,59.3948,94.6778,11.2373,41.5376,97.5541,11.4242,50.9444,97.1987,22.159,27.9528,85.9031,21.7681,64.1911,85.6059,25.2479,32.2029,140.439,11.057,31.1431,141.296
0.0316413,28.1801,32.6935,95.7834,28.8636,59.3943,94.6771,11.2382,41.5401,97.5517,11.4232,50.9451,97.1998,22.1605,27.9544,85.9034,21.7669,64.1888,85.6065,25.2467,32.2042,140.441,11.0571,31.1413,141.296
0.0336189,28.1806,32.6913,95.7852,28.8633,59.3943,94.6756,11.24,41.5424,97.5485,11.4213,50.946,97.2005,22.1624,27.9567,85.904,21.7652,64.1843,85.6069,25.2444,32.2059,140.444,11.0567,31.1376,141.297
0.0355965,28.1792,32.6897,95.7855,28.8637,59.395,94.6759,11.2395,41.5432,97.5477,11.4218,50.945,97.1994,22.1618,27.9568,85.9031,21.7659,64.1841,85.6063,25.2418,32.2066,140.442,11.0543,31.1388,141.297
0.037574,28.1769,32.6883,95.7852,28.8643,59.3961,94.677,11.2381,41.5432,97.5479,11.4234,50.9431,97.1976,22.16,27.9559,85.9014,21.7677,64.1859,85.6053,25.239,32.2069,140.439,11.0511,31.1421,141.296
