time,RASIS,,,LASIS,,,RPSIS,,,LPSIS,,,,static,RASIS,,,LASIS,,,RPSIS,,,LPSIS,,,RGT,,,LGT,,
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,25.4855,33.6007,89.7374,25.3437,60.0264,88.9865,10.1124,41.4011,97.1728,9.99739,50.9188,97.1752,,,28.1886,32.6892,95.7831,28.8729,59.3958,94.6721,11.2489,41.5302,97.5501,11.4323,50.9425,97.1989,22.1686,27.9514,85.9061,21.7695,64.1875,85.6033
0.00197758,25.4869,33.6067,89.7334,25.3422,60.0415,88.9875,10.1085,41.4046,97.173,9.99777,50.9249,97.173,,,28.1891,32.69,95.7837,28.8701,59.3961,94.6725,11.2493,41.5303,97.5476,11.4308,50.9396,97.1996,22.1675,27.9514,85.9063,21.7676,64.1879,85.6017
0.00395516,25.4882,33.6128,89.7293,25.3408,60.0565,88.9885,10.1045,41.408,97.1732,9.99814,50.9309,97.1708,,,28.1896,32.6909,95.7844,28.8674,59.3964,94.6728,11.2496,41.5304,97.5451,11.4294,50.9367,97.2002,22.1664,27.9513,85.9066,21.7657,64.1883,85.6002
0.00593274,25.4896,33.6247,89.7273,25.3364,60.0639,88.9886,10.104,41.4194,97.1698,9.99491,50.9384,97.1704,,,28.1899,32.6908,95.7842,28.8683,59.3978,94.6742,11.2453,41.5327,97.5479,11.4284,50.9392,97.2003,22.1662,27.9524,85.9068,21.7659,64.1881,85.6005
0.00791032,25.491,33.6366,89.7254,25.3321,60.0713,88.9887,10.1034,41.4308,97.1663,9.99166,50.9458,97.17,,,28.1903,32.6907,95.784,28.8693,59.3994,94.6756,11.2408,41.5351,97.5509,11.4275,50.942,97.2004,22.166,27.9536,85.907,21.7663,64.1879,85.6008
0.00988791,25.4883,33.6494,89.7221,25.3318,60.0829,88.9889,10.1027,41.4401,97.1603,9.99023,50.9545,97.1709,,,28.1894,32.6913,95.784,28.8676,59.3982,94.6765,11.2392,41.5346,97.551,11.4264,50.942,97.1982,22.1653,27.9545,85.9049,21.7655,64.1879,85.6009
0.0118655,25.4855,33.6622,89.7188,25.3315,60.0946,88.9891,10.102,41.4493,97.1542,9.98879,50.9633,97.1718,,,28.1885,32.6919,95.7839,28.8657,59.3968,94.6773,11.2378,41.5339,97.5509,11.4254,50.9418,97.1958,22.1646,27.9555,85.9027,21.7647,64.1879,85.6011
0.0138431,25.4815,33.6712,89.7163,25.3281,60.1061,88.9912,10.0957,41.457,97.154,9.98404,50.9732,97.1689,,,28.1868,32.6917,95.7846,28.868,59.3959,94.6765,11.2396,41.5359,97.5511,11.425,50.9415,97.1968,22.1637,27.9549,85.9049,21.7643,64.1864,85.6005
0.0158206,25.4774,33.6802,89.7137,25.3246,60.1176,88.9934,10.0893,41.4647,97.1538,9.97927,50.9832,97.166,,,28.1851,32.6914,95.7855,28.8708,59.3951,94.6755,11.2418,41.5382,97.5513,11.4246,50.9412,97.1981,22.1627,27.9542,85.9077,21.764,64.1848,85.5999
0.0177982,25.4783,33.6903,89.7092,25.3235,60.1307,88.9946,10.0967,41.4912,97.1489,9.97543,50.9926,97.1617,,,28.1851,32.6916,95.7842,28.87,59.3952,94.6756,11.2409,41.5384,97.5503,11.4257,50.9409,97.1973,22.1654,27.9553,85.9053,21.7629,64.1858,85.601
0.0197758,25.4793,33.7003,89.7047,25.3225,60.1438,88.9959,10.104,41.5178,97.144,9.9716,51.002,97.1574,,,28.1853,32.692,95.7826,28.8685,59.3956,94.6759,11.2395,41.5381,97.5491,11.427,50.9406,97.196,22.1688,27.9568,85.902,21.7618,64.1873,85.6025
0.0217534,25.4769,33.7123,89.7019,25.3218,60.1531,88.9955,10.093,41.5165,97.1433,9.97114,51.0137,97.158,,,28.186,32.6927,95.7828,28.8653,59.3965,94.6759,11.2398,41.5357,97.5513,11.425,50.9417,97.1952,22.1653,27.9557,85.9023,21.7642,64.1864,85.6031
