total mass,68.63536835,,,,time,Rft_COM,,,Lft_COM,,,Rshank_COM,,,Lshank_COM,,,Rthigh_COM,,,Lthigh_COM,,,Rankle_jc,,,Lankle_jc,,,Rknee_jc,,,Lknee_jc,,,Rhip_jc,,,Lhip_jc,,,GRF_Rleg,,,GRF_Lleg,,,GRT_Rleg,,,GRT_Lleg,,,COP_Rleg,,,COP_Lleg,,,Rft_angle,,,Lft_angle,,,Rshank_angle,,,Lshank_angle,,,Rthigh_angle,,,Lthigh_angle,,
Mass of foot,0.940304546,,,,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
Mass of shank,2.97191145,,,,0,24.3536,14.4634,4.34949,26.1178,73.5961,3.88149,24.6338,21.8102,30.3626,25.4027,68.6894,29.8395,21.1376,32.6839,69.016,20.5842,60.357,68.5629,21.7358,15.913,9.71618,23.2699,71.5231,8.95521,26.966,26.5558,46.9774,27.1189,66.4091,46.6457,17.0957,36.9336,84.2993,16.0525,56.1601,83.7621,-8.24327,85.6914,315.385,1.29238,-78.0076,359.687,-32.9209,-24.7408,6.05544,20.3293,-9.23625,-3.83723,32.4201,12.0698,-1.97754,26.5742,75.106,-2.35659,-9.40859,2.07314,-101.107,7.59801,2.25202,-65.6219,-15.9407,7.68659,-108.795,7.72697,5.7783,-58.1401,-15.5392,-14.2945,-89.5546,15.4365,-16.0346,-82.5683
Mass of thigh,9.718768159,,,,0.00197758,24.3547,14.4634,4.35395,26.1175,73.5961,3.87984,24.6388,21.8148,30.3623,25.404,68.6946,29.8399,21.1411,32.6919,69.0138,20.5845,60.3658,68.5634,21.7369,15.9157,9.71655,23.2688,71.5248,8.95571,26.9741,26.562,46.9766,27.1222,66.417,46.646,17.096,36.943,84.2961,16.0507,56.1694,83.7627,-8.1778,85.2436,315.127,1.29448,-78.2713,360.568,-32.7863,-24.6849,6.0625,20.2714,-9.21244,-3.83789,32.4089,12.1039,-1.97783,26.5613,75.0761,-2.35652,-9.44036,2.09918,-101.1,7.57219,2.24558,-65.6188,-15.9462,7.69695,-108.799,7.71766,5.78516,-58.1366,-15.5447,-14.306,-89.5471,15.4344,-16.0416,-82.5654
,,,,,0.00395516,24.3557,14.4635,4.35841,26.1172,73.596,3.87818,24.6438,21.8194,30.362,25.4053,68.6998,29.8403,21.1446,32.7,69.0115,20.5848,60.3746,68.564,21.7379,15.9183,9.71692,23.2676,71.5265,8.95621,26.9823,26.5682,46.9757,27.1256,66.425,46.6464,17.0962,36.9523,84.2929,16.0489,56.1788,83.7634,-8.10913,85.127,313.991,1.20658,-78.2896,361.186,-32.7321,-24.6524,6.05189,20.3292,-9.16099,-3.83258,32.4268,12.0836,-1.97761,26.5427,75.0825,-2.35657,-9.47219,2.12523,-101.094,7.54639,2.23915,-65.6157,-15.9517,7.70731,-108.804,7.70835,5.79202,-58.1332,-15.5501,-14.3175,-89.5397,15.4323,-16.0487,-82.5625
,,,,,0.00593274,24.3575,14.4645,4.3616,26.1171,73.5961,3.88124,24.6509,21.8233,30.3641,25.4057,68.7054,29.8404,21.1492,32.7093,69.0107,20.5833,60.3847,68.5634,21.7413,15.917,9.72029,23.2674,71.5262,8.95651,26.9924,26.5763,46.9768,27.1265,66.4354,46.6463,17.0971,36.9624,84.2908,16.0457,56.1886,83.7625,-8.28967,84.7682,313.204,1.15681,-78.4673,361.89,-32.7453,-24.7501,6.0485,20.3344,-9.24222,-3.79885,32.4777,12.0532,-1.97716,26.5603,75.073,-2.35651,-9.44885,2.13958,-101.093,7.55358,2.23809,-65.6148,-15.9662,7.71697,-108.816,7.69253,5.7941,-58.1382,-15.5542,-14.3312,-89.552,15.4333,-16.0547,-82.5535
MOI of foot,,,,,0.00791032,24.3594,14.4654,4.36479,26.1169,73.5961,3.88431,24.658,21.8272,30.3663,25.4062,68.711,29.8405,21.1539,32.7185,69.0099,20.5818,60.3947,68.5629,21.7447,15.9156,9.72367,23.2671,71.5259,8.95682,27.0024,26.5844,46.9779,27.1275,66.4458,46.6461,17.098,36.9724,84.2886,16.0424,56.1985,83.7617,-8.08902,84.6087,312.419,1.20434,-78.6424,362.242,-32.588,-24.7112,6.03266,20.3278,-9.20815,-3.82196,32.4851,12.0772,-1.9773,26.5484,75.0657,-2.35651,-9.42544,2.15392,-101.093,7.56082,2.23703,-65.614,-15.9806,7.72663,-108.828,7.67671,5.79619,-58.1431,-15.5582,-14.3449,-89.5643,15.4343,-16.0608,-82.5445
24.5,0,0,,,0.00988791,24.3611,14.4638,4.3677,26.1174,73.5962,3.88237,24.6618,21.8298,30.3676,25.4078,68.713,29.8396,21.1549,32.7273,69.0082,20.5827,60.4029,68.5626,21.7469,15.9162,9.72592,23.2679,71.5271,8.95441,27.0075,26.5886,46.9786,27.1297,66.4483,46.6466,17.0963,36.9843,84.2853,16.0424,56.2105,83.7608,-8.17807,84.2909,310.936,1.14339,-78.8371,362.861,-32.4716,-24.6608,6.03964,20.3675,-9.11008,-3.85088,32.5066,12.0651,-1.97711,26.517,75.067,-2.35656,-9.4499,2.17267,-101.088,7.55571,2.23331,-65.6172,-15.9863,7.73079,-108.826,7.67407,5.79784,-58.1357,-15.5707,-14.355,-89.5379,15.4213,-16.0653,-82.5408
0,25.7,0,,,0.0118655,24.3628,14.4622,4.3706,26.1179,73.5963,3.88041,24.6656,21.8324,30.369,25.4093,68.7149,29.8388,21.1559,32.736,69.0065,20.5836,60.411,68.5622,21.7492,15.9169,9.72817,23.2688,71.5283,8.952,27.0125,26.5929,46.9793,27.1319,66.4509,46.6471,17.0945,36.9961,84.2819,16.0424,56.2226,83.76,-8.28871,84.0004,310.674,1.18966,-79.2115,363.482,-32.4011,-24.6334,5.99568,20.4245,-9.08734,-3.80595,32.5044,12.0788,-1.97722,26.5065,75.0732,-2.3566,-9.47449,2.19143,-101.083,7.55056,2.22958,-65.6204,-15.992,7.73493,-108.825,7.67146,5.79948,-58.1282,-15.5832,-14.3651,-89.5113,15.4082,-16.0698,-82.5372
0,0,12.4,,,0.0138431,24.365,14.4627,4.37351,26.1167,73.5959,3.87839,24.6722,21.835,30.3716,25.4088,68.7229,29.8395,21.1578,32.7445,69.0054,20.5818,60.4227,68.5628,21.7516,15.917,9.73258,23.2668,71.531,8.95309,27.0226,26.5975,46.9804,27.1325,66.4632,46.6473,17.0906,37.0073,84.2793,16.039,56.2338,83.7607,-8.19948,83.8178,309.454,1.16877,-79.2965,364.188,-32.2331,-24.6019,5.98029,20.4444,-9.05001,-3.80072,32.5254,12.092,-1.97722,26.4914,75.0677,-2.35661,-9.46858,2.20838,-101.076,7.51826,2.2102,-65.622,-15.9998,7.74636,-108.809,7.65727,5.80364,-58.1191,-15.594,-14.385,-89.5154,15.4095,-16.0751,-82.5329
,,,,,0.0158206,24.3673,14.4632,4.37641,26.1156,73.5955,3.87636,24.6789,21.8377,30.3742,25.4083,68.7309,29.8401,21.1596,32.753,69.0043,20.58,60.4344,68.5633,21.754,15.9171,9.737,23.2649,71.5337,8.95418,27.0326,26.6021,46.9815,27.1332,66.4755,46.6476,17.0868,37.0185,84.2766,16.0356,56.2451,83.7614,-8.24262,83.7239,308.319,1.05766,-79.4038,365.157,-32.2011,-24.6117,5.9699,20.4865,-9.00987,-3.78424,32.5578,12.0642,-1.97687,26.4738,75.0644,-2.35662,-9.46256,2.22531,-101.069,7.4859,2.19078,-65.6237,-16.0076,7.75781,-108.792,7.64304,5.8078,-58.11,-15.6048,-14.405,-89.5196,15.4108,-16.0804,-82.5287
